"block","block_index","event_type","is_speech","latency_ms","relative_time","stop_cue_index","timestamp","trial_instance_id","trial_number"
"block0","0","speech_start","","","0.0","","0.10899999999946886","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","0.6399999999994179","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","1.1869999999998981","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","2.45299999999952","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","6.311999999999898","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","11.79699999999957","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","12.733999999999469","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","13.108999999999469","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","13.811999999999898","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","14.139999999999418","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","17.625","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","21.639999999999418","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","22.67199999999957","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","23.07799999999952","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","23.42199999999957","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","24.32799999999952","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","25.04699999999957","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","25.35899999999947","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","26.936999999999898","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","32.96799999999985","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","33.79699999999957","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","35.96799999999985","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","36.01499999999942","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","48.71799999999985","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","48.8119999999999","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","49.15599999999995","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","50.40599999999995","namdar_01_block0_000","0"
"block0","0","speech_end","","","0.0","","55.10899999999947","namdar_01_block0_000","0"
"block0","0","speech_start","","","0.0","","1.2970000000004802","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","1.625","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","1.7030000000004293","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","3.811999999999898","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","4.359000000000378","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","5.078000000000429","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","8.640000000000327","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","13.95300000000043","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","14.530999999999949","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","15.125","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","15.311999999999898","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","15.640000000000327","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","16.0","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","16.561999999999898","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","16.75","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","17.23400000000038","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","17.53099999999995","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","17.98400000000038","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","18.29700000000048","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","18.73400000000038","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","18.96900000000005","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","19.48400000000038","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","19.71900000000005","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","20.40599999999995","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","20.48400000000038","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","29.265000000000327","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","29.375","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","32.98400000000038","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","33.0619999999999","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","34.42200000000048","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","36.5","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","41.28099999999995","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","48.95300000000043","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","53.04700000000048","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","54.95300000000043","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","55.3119999999999","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","55.51500000000033","namdar_01_block0_001","0"
"block0","0","speech_end","","","0.0","","55.85900000000038","namdar_01_block0_001","0"
"block0","0","speech_start","","","0.0","","7.061999999999898","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","11.45299999999952","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","17.625","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","22.26599999999962","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","22.78099999999995","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","23.14099999999962","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","23.79699999999957","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","24.17199999999957","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","28.54699999999957","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","33.78099999999995","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","34.70299999999952","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","35.09400000000005","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","35.60899999999947","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","36.0","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","36.25","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","36.90599999999995","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","37.45299999999952","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","38.26599999999962","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","39.90599999999995","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","44.14099999999962","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","45.01599999999962","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","45.40599999999995","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","50.1869999999999","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","55.0619999999999","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","55.3119999999999","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","55.6869999999999","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","57.04699999999957","namdar_01_block0_002","0"
"block0","0","speech_end","","","0.0","","57.875","namdar_01_block0_002","0"
"block0","0","speech_start","","","0.0","","6.092999999999847","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","6.436999999999898","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","7.625","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","14.484000000000378","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","15.07800000000043","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","15.405999999999949","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","15.57800000000043","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","17.03099999999995","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","17.07800000000043","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","17.436999999999898","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","19.967999999999847","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","20.342999999999847","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","21.28099999999995","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","28.35900000000038","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","28.671000000000276","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","28.98400000000038","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","29.546000000000276","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","29.875","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","30.015000000000327","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","30.375","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","30.85900000000038","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","31.171000000000276","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","31.625","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","32.01500000000033","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","35.34299999999985","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","40.15599999999995","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","45.71799999999985","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","46.0619999999999","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","47.14000000000033","namdar_01_block0_003","0"
"block0","0","speech_end","","","0.0","","53.79600000000028","namdar_01_block0_003","0"
"block0","0","speech_start","","","0.0","","11.82800000000043","namdar_01_block0_004","0"
"block0","0","speech_end","","","0.0","","16.125","namdar_01_block0_004","0"
"block0","0","speech_start","","","0.0","","19.32800000000043","namdar_01_block0_004","0"
"block0","0","speech_end","","","0.0","","19.65599999999995","namdar_01_block0_004","0"
"block0","0","speech_start","","","0.0","","21.25","namdar_01_block0_004","0"
"block0","0","speech_end","","","0.0","","21.59400000000005","namdar_01_block0_004","0"
"block0","0","speech_start","","","0.0","","22.90599999999995","namdar_01_block0_004","0"
"block0","0","speech_end","","","0.0","","23.265000000000327","namdar_01_block0_004","0"
"block0","0","speech_start","","","0.0","","26.79700000000048","namdar_01_block0_004","0"
"block0","0","speech_end","","","0.0","","27.15599999999995","namdar_01_block0_004","0"
"block0","0","speech_start","","","0.0","","27.28099999999995","namdar_01_block0_004","0"
"block0","0","speech_end","","","0.0","","32.875","namdar_01_block0_004","0"
"block0","0","speech_start","","","0.0","","34.29700000000048","namdar_01_block0_004","0"
"block0","0","speech_end","","","0.0","","34.625","namdar_01_block0_004","0"
"block0","0","speech_start","","","0.0","","43.95300000000043","namdar_01_block0_004","0"
"block0","0","speech_end","","","0.0","","49.59400000000005","namdar_01_block0_004","0"
"block0","0","speech_start","","","0.0","","55.84400000000005","namdar_01_block0_004","0"
"block0","0","speech_end","","","0.0","","56.59400000000005","namdar_01_block0_004","0"
"block0","0","speech_start","","","0.0","","1.0619999999998981","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","1.405999999999949","namdar_01_block0_005","0"
"block0","0","speech_start","","","0.0","","5.375","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","8.875","namdar_01_block0_005","0"
"block0","0","speech_start","","","0.0","","13.561999999999898","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","17.311999999999898","namdar_01_block0_005","0"
"block0","0","speech_start","","","0.0","","21.98400000000038","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","26.53099999999995","namdar_01_block0_005","0"
"block0","0","speech_start","","","0.0","","31.35900000000038","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","36.60900000000038","namdar_01_block0_005","0"
"block0","0","speech_start","","","0.0","","41.20300000000043","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","46.57800000000043","namdar_01_block0_005","0"
"block0","0","speech_start","","","0.0","","51.29600000000028","namdar_01_block0_005","0"
"block0","0","speech_end","","","0.0","","56.21799999999985","namdar_01_block0_005","0"
"block1","1","speech_start","","","0.0","","1.7029999999995198","namdar_01_block1_000","0"
"block1","1","speech_end","","","0.0","","2.764999999999418","namdar_01_block1_000","0"
"block1","1","speech_start","","","0.0","","2.858999999999469","namdar_01_block1_000","0"
